time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-11T11:51:41.245Z,36.4205,36.3922,10,4.4,mb,40,166,0.997,0.5,us,us6000jnam,2023-02-11T20:21:09.849Z,"7 km NNW of Uzunkavak, Turkey",earthquake,6.12,1.93,0.144,14,reviewed,us,us
2023-02-11T11:05:16.816Z,38.0828,36.6437,10,4.4,mb,51,48,0.99,0.37,us,us6000jnai,2023-02-11T11:48:54.040Z,"14 km ENE of Göksun, Turkey",earthquake,4.6,1.891,0.11,24,reviewed,us,us
2023-02-11T09:03:36.029Z,37.9923,38.2507,6.127,4.4,mb,23,141,1.101,0.54,us,us6000jn9p,2023-02-11T09:33:31.040Z,"3 km SSE of Çelikhan, Turkey",earthquake,4.74,5.181,0.267,4,reviewed,us,us
2023-02-11T07:55:42.595Z,37.0141,36.9831,7.232,4.5,mb,54,115,0.24,0.98,us,us6000jn9a,2023-02-15T01:57:04.040Z,"15 km NNE of Musabeyli, Turkey",earthquake,4.12,5.545,0.125,19,reviewed,us,us
2023-02-11T06:28:13.065Z,37.9814,36.5916,10,4.6,mb,39,73,0.945,0.63,us,us6000jn97,2023-02-11T08:53:08.040Z,"9 km ESE of Göksun, Turkey",earthquake,5.72,1.908,0.173,10,reviewed,us,us
2023-02-11T06:06:24.313Z,37.9638,38.207,10,4,mb,30,115,1.119,0.58,us,us6000jn8z,2023-02-11T12:20:09.765Z,"7 km SSW of Çelikhan, Turkey",earthquake,5.25,1.949,0.183,8,reviewed,us,us
2023-02-11T04:47:04.443Z,37.7485,36.6102,10,4.2,mb,48,75,0.747,0.54,us,us6000jn8d,2023-02-11T05:16:15.040Z,"29 km NE of And?r?n, Turkey",earthquake,4.98,1.858,0.128,17,reviewed,us,us
2023-02-11T03:38:25.495Z,37.983,38.49,15.886,4.2,mb,61,120,1.115,0.71,us,us6000jn88,2023-02-11T04:34:25.040Z,"12 km WSW of Sincik, Turkey",earthquake,4.22,4.397,0.11,23,reviewed,us,us
2023-02-11T00:24:42.706Z,36.4575,36.6798,10,4.1,mb,35,168,0.83,0.72,us,us6000jn77,2023-02-11T00:55:07.040Z,"Turkey-Syria border region",earthquake,3.11,1.914,0.198,7,reviewed,us,us
2023-02-10T20:12:46.943Z,38.0504,38.6025,10,4.2,mb,35,119,1.062,0.99,us,us6000jn5q,2023-02-10T23:05:51.040Z,"eastern Turkey",earthquake,2.21,1.912,0.146,14,reviewed,us,us
2023-02-10T17:31:24.915Z,38.1657,38.5791,5.707,4.2,mb,43,100,0.945,0.52,us,us6000jn4x,2023-02-10T18:37:18.040Z,"14 km NNW of Sincik, Turkey",earthquake,3.49,4.305,0.113,22,reviewed,us,us
2023-02-10T17:00:52.253Z,37.8433,36.3069,10,4.9,mww,141,36,0.982,0.88,us,us6000jn4r,2023-02-15T02:07:11.510Z,"24 km SE of Saimbeyli, Turkey",earthquake,4.8,1.832,0.075,17,reviewed,us,us
2023-02-10T10:01:23.319Z,38.1295,38.1979,10,4.1,mb,33,75,0.846,0.34,us,us6000jn2a,2023-02-17T09:11:55.040Z,"12 km NNW of Çelikhan, Turkey",earthquake,3.01,1.945,0.262,4,reviewed,us,us
2023-02-10T09:02:51.105Z,37.9549,38.2183,10,4.2,mb,34,55,0.701,0.69,us,us6000jn1b,2023-02-17T09:01:51.040Z,"8 km SSW of Çelikhan, Turkey",earthquake,4.14,1.931,0.215,6,reviewed,us,us
2023-02-10T08:17:28.501Z,34.995,35.2889,10,4.2,mb,28,206,1.608,0.74,us,us6000jn19,2023-02-10T14:17:06.732Z,"Lebanon - Syria region",earthquake,5.34,1.93,0.187,8,reviewed,us,us
2023-02-10T04:50:24.897Z,38.175,38.1644,10,4.8,mb,55,79,1.255,0.76,us,us6000jn0h,2023-02-10T06:59:08.092Z,"15 km SSW of Ye?ilyurt, Turkey",earthquake,4.12,1.87,0.1,31,reviewed,us,us
2023-02-10T02:03:42.936Z,38.0894,38.2087,10,4.4,mb,35,66,1.211,1.19,us,us6000jmzl,2023-02-10T02:23:12.040Z,"7 km NNW of Çelikhan, Turkey",earthquake,5.28,1.886,0.115,22,reviewed,us,us
2023-02-10T01:51:00.509Z,37.8402,36.6189,10,4.9,mb,39,49,0.816,0.73,us,us6000jmzj,2023-02-15T02:13:02.040Z,"22 km SSE of Göksun, Turkey",earthquake,4.98,1.607,0.075,58,reviewed,us,us
2023-02-09T22:06:39.722Z,36.9692,36.6923,10,4.2,mb,58,68,0.461,1.09,us,us6000jmvs,2023-02-09T22:31:50.040Z,"21 km SE of Hasanbeyli, Turkey",earthquake,4.63,1.68,0.101,27,reviewed,us,us
2023-02-09T21:46:29.575Z,37.1667,36.8266,10,4.1,mb,39,84,0.306,0.52,us,us6000jmvn,2023-02-09T22:20:29.040Z,"Central Turkey",earthquake,4.34,1.718,0.151,12,reviewed,us,us
2023-02-09T09:46:56.179Z,38.0162,38.6105,15.872,4.3,mb,32,121,1.396,0.49,us,us6000jmpe,2023-02-09T20:34:21.991Z,"2 km S of Sincik, Turkey",earthquake,4.19,5.774,0.202,7,reviewed,us,us
2023-02-09T07:42:09.215Z,38.0166,36.6317,10,4.3,mb,39,70,0.96,0.95,us,us6000jmnx,2023-02-09T08:01:19.040Z,"11 km E of Göksun, Turkey",earthquake,1.74,1.945,0.137,15,reviewed,us,us
